1978150,1081090,221550,34129,29904,164680,58905,132500
2528150,1334550,339650,42788,38197,229430,89665,203000
2917650,1591390,348800,49130,44185,237930,95480,216000
3555550,1960960,401350,60160,54124,280050,109330,242000
4097900,2186120,524500,68652,61855,364100,148035,297000
3417150,1853380,411250,57972,51556,288510,110575,245375
5874300,3211820,708550,99786,89043,483610,195615,396250
7158350,3855450,910900,121157,108560,615670,249155,524750
3215300,1750600,393400,54931,48584,269810,104475,226750
3166250,1693200,404100,53654,47783,280080,110370,249500
2449800,1319850,292450,41446,36995,212340,83370,187000
2439050,1349800,263700,41869,37244,195270,73660,174500
1855550,1009740,212650,31921,28107,159040,58160,149125
2389800,1295410,284150,40565,36168,201790,80055,175250
2506900,1330060,323100,42747,37509,230530,88430,219250
3185050,1705580,396650,54144,47948,283190,108075,246625
3802050,2013870,487500,64352,57134,347720,136225,295875
3351950,1782470,428200,56952,50452,299710,115335,270500
6157700,3316060,790950,104649,93350,525800,208065,490000
7107500,3834620,859000,120457,107891,604560,236650,542250
2787500,1502140,347350,47139,42163,238780,94110,209250
